web_scraper_order,web_scraper_start_url,product,Name,price,Brand,Department,Display,Rating,pages
"1767350685-11","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/406006605258?_skw=watches&itmmeta=01KDZ4VMH0FXRMKPGXB6D9XY99&hash=item5e87e125ca:g:KooAAeSwyDloYMzg&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eB5er%2BnGqh5a65z4Cy61duVmgFw9gO%2FkHe5XQ%2F8i70D87fAu5pUjg3QJUIB4Om7nJjuk6zeT7A1jkJ9vR83kF5kIylu09IJjbRAS2Z2ka%2F305MuZcYt75uZy8SYhWadYT2kV8%2FiJJrlt1Ibb4Ny%2FxRQ6%2FsaiFMrgf0%2BMaB%2B6iRY5XpU9VcWFc0J8Hlb0uICU%2F2251IJtOyw4XDdFjCL5P8KbzaftKsuA22XlFXqmxK8yqiSJaLCqL%2FmbDJ0YzkmfKZel7tq9pdiblrHvPFLmKI%7Ctkp%3ABk9SR4jJ7uTvZg","Bulova Marine Star Black Dial Chronograph Silicone Strap Men's Watch 44MM 98B104","US $200.26","Bulova","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350713-12","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/186018737751?_skw=watches&itmmeta=01KDZ4VMH0EV4MQC937Z24SHWX&hash=item2b4f94ae57:g:nWsAAOSwEmNky2v-&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fOxZUJIgE2slXQGv112s8eBDQxbeCFI%2FLyClB%2FwsVwXTfjovASal6vpbw9mnMlZezq%2Bpxm6UGdH6Q7DtkZg797r5zkKFi%2FVvtCXhel4OMagTS44oAkpRehyJi0YvpI1oqA9YfFdLk9iK0ufdJ8J%2FJgikmxj%2F8bAqgtV7J1imWxfagYIKDV23rx5rrQ1Z8WeJhFxX%2FY08kEt0jG3Gjm6y6OUTw3fxfQphpAfB6x4XkLuU2ec10VHkauQiVOo2MlRtHxoPc6DnJ17DD2YfyZrO2a%7Ctkp%3ABk9SR4jJ7uTvZg","36mm Tandorio Pilot Automatic Watch 20ATM NH35 PT5000 Black Dial Sapphire Glass","US $73.20","Tandorio","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350720-13","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/365797783932?_skw=watches&itmmeta=01KDZ4VMH0Y29QTK62EW5ERHK0&hash=item552b3f397c:g:e0kAAeSwdhdonbBW&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cI6Mzz7Njq24twIQehlTYufgWdV80gyipTDd00INxIY6a8rONb6N%2FR6ML7ag3AwIVR0dkF8nRxkocMInUZOdGsYLXqzXbHRrzJNAtOOkLMrOIYlLnCUqn0fz5IcL6%2BVVzDQuADLfd2T76U2PLiYJ%2BFcgEyRKBv6PJ5HwrhQlNDPDbPwYIjnRNx7Z04ORbfsEVtAWHsTPKnjJTa8tlycY40vQYDU16ROIRWiGu%2FSvT5tVk8Ycsuk9XhwwVer9c78MASr2LUW0RIEZWIsboKnLj0%7Ctkp%3ABk9SR4jJ7uTvZg","NH35 Blue 42mm Titanium 200M Diving Tactical Frog Watch Men Sapphire 120 Clicks","US $105.00","TANDORIO","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350726-14","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/375917542698?_skw=watches&epid=22064321515&itmmeta=01KDZ4VMH0C4TJCE1YXWSNNDQC&hash=item57866e7d2a:g:vJoAAOSwP4dngb2w&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1emp07CcAhQv0gN%2BNdjH2457B5t7c2XEKow%2F1crW6u5WWMCuRUM8kI2TJFFkgysdPhZg7aKd5B7pOAPh9vpLP1jyI1DRfE8h6xmyCfaVfIrPiiMaRE2GxgNjOWjRKHY9g8VoGNgu5Ch22JBWj7OPEsOUeYS4FW4veWreKATz96fv7JPyKvzLB51UaPrFNeEo%2BsnWoONLQKDL5MrAZB3QSmt%2B6F54eZsmPuAlPVJiUXG9g%3D%3D%7Ctkp%3ABk9SR4jJ7uTvZg","NEW✅DIVER✅ Citizen Promaster Blue Dial ORCA Blue Polyurethane Watch BN0231-01L","US $329.99","Citizen","Men","Analog","4.8","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350734-15","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/157490160198?_skw=watches&epid=9049792681&itmmeta=01KDZ4VMH0SJYRY03508GTKJ51&hash=item24ab252246:g:NskAAeSwHsVpTNXv&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dUjZmyFSVVnHWtqmsx%2FvNVaqlSQIBTgC9WeldbBGB93o9YIGnD3mrQTh3ov2kQ0u8GBXZu9G6z6fXRI4GR2oV4csUGim8bprpaJvyjotAtpqABih1FHa92FhzEKy30Zd9L5JS9CMF0b6MR1ijf4QO8Vp13y%2FWX08GTVLAlP6U%2BgrWe2xZw%2F0Ou0RTLRecq%2FyGjMOgMBiMNDjq3OO8XPLb0%2BX%2BeRX6fIByc7HFLSRW%2BQCleSAZFQAGOKUYJ64NP1K7V%2FrSYP2AMUrwqC01htvbr%7Ctkp%3ABk9SR4jJ7uTvZg","Seiko 5 Automatic Black Dial Men's Watch SNKL50K1","US $196.90","Seiko","Men","Analog","5.0","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350742-16","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/311898024900?_skw=watches&epid=144448424&itmmeta=01KDZ4VMH0GFQPVPAWY0X9VYMT&hash=item489e922bc4:g:dCEAAOSw8e9icYqm&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cP1MFCBCF%2FfVPpwrWuJ643hTCSloo8z9kFR0PQLUzVWSQDaI%2Fizi7r5Js0WeNHg6WP50l15Xje8KqHfn%2FPC2EjAPm%2BVoZPzp9uKcjq1yB1IDK%2BqDmIFooLusSVj7sovVXQnxY0vQU9EVJeF5thO%2B7E3R53x7rKl6tH6hDDtqEf6DswfzE9kO3lg7qBOEgiuukE5yluuOqXnETxNakjVbfGBY45bTPgUfFD%2BTxEaNAFng%3D%3D%7Ctkp%3ABk9SR4jJ7uTvZg","Freestyle Men's El Toro Chronograph Analog Watch 76701 Black Sport Water Resist","US $24.99","Freestyle","Unisex Adult","","5.0","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350748-17","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/355307408616?_skw=watches&itmmeta=01KDZ4VMH08FZ9J66EDRSBHB3J&hash=item52b9f8cce8:g:weoAAOSwhyNlhBL5&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1drw8Z6clbTxIE8X43KGDLFVIG1fhM%2FgJjcndaUlX9FkrrDMDD%2Bud88rG9RBHHIf8GOvEiPc4Q8qw02%2BWMQD7Q1JgNyccmtWa8qgmyk5wdrK5yZHpc27rqYfgxie6OZotG%2BAzClp%2BYLlBOI4iUdm7H9DnbKPNOmQ1P2fma7totDZ16WgYt99%2BdREgi5VnTNREGAZeITk9YHxtnovLM0VTpcTbI6v%2BBLIG0Sz7V15hQQ%2Bw%3D%3D%7Ctkp%3ABk9SR4jJ7uTvZg","Watch Women Casual Ladies Watches Leather Waterproof Simple Quartz Wristwatch","US $10.90","Unbranded","Women","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350753-18","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/286909212125?_skw=watches&epid=14084446547&itmmeta=01KDZ4VMH09RBJGTZ6T07B170G&hash=item42cd1f25dd:g:1vUAAeSwzzNpBMpf&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dlqGsChy0wO3xXIAAHpZ%2FXmXKM7i%2FHRMRBHmj1VaXyLCFDWy3Rx9Z70EyfDwNkRDrhgiazAFmmW8RL4I8WRgI1U2ZVJVH2z7wsSphJNf%2Bjr3czehdNJJ8j4rabT423lmzU4n%2FZ2L0l5coec2NujEoYEsJaoBhUGrOSM3%2BStT1IOg0uYeHfbiBbD3hgmKbssShArPlck5Mukn5aawA0X4hvntnvFKSWP%2BDs9P%2Flm8%2BsLSMfATeq1Bm9fCQLbzAl5fpQxRvcnmDeQp8k%2By2Goosh%7Ctkp%3ABk9SR4jJ7uTvZg","Bulova 98A318 Maquina Blue Dial Men's Watch","US $596.25","Bulova","Unisex Adults","","5.0","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350760-19","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/326722650579?_skw=watches&itmmeta=01KDZ4VMH08KJA1BZWTXGDHD8Z&hash=item4c123001d3:g:vtgAAeSwG75olYA6&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cDBfvqKTWkY%2FKfG9yiqNmJejyA%2FkFGos%2Ffge%2BX%2FYHk1GED5NhTqg5bouUD1hxwyaoJwYFb0pnLotyiAXGE6jrrtXuy%2BIB%2FET06X7IzQuTy7JaA3WAE1%2FBSYBc6Abgnj07Tig2yha%2BI1XkqwX%2FxL%2BTW%2B8ix%2Bk51ooil3RFy88omFiEktnoi2%2FbXqtnevqOBDgPW8Dv1vqhG8T4f3hcupu%2FZtOYX8qGmvLYpPz7OYMY0mw%3D%3D%7Ctkp%3ABk9SR4jJ7uTvZg","New Expedition Tide-Temp-Compass 45mm Silicone Strap Watch TW2V22200","US $225.00","Timex","Men","","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
"1767350769-20","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&rt=nc&_pgn=1","https://www.ebay.com/itm/166612339739?_skw=watches&epid=3065640550&itmmeta=01KDZ4VMH0VSV7GF57ZXR508KJ&hash=item26cade8c1b:g:mkgAAOSwmr1l2Fzj&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cjs4puHZ%2FjrhmJ--5b23FQcfb65bChzNx2DXyFxJCOkJMFp1egGpU6skRNx6iMU4zHjXYROexhke6IYg7kxmm83Tiwzh72NGYVC2epLn8i2IxtfIC1PjrUYDXg03UGKI2ZZEfGEumABwVzJGs5SlpdwhSD3x00C97g8wiPrJQJqq1BRiioSgFGH4WY8Xw237t3YnfDLK0uuaCWoMTEjHJtrQkzGmC%2Br3yH7%2BsoqQ8hXGe5kbTFDqChJjgpDb7NiuQjf2qZMSoocbKfiw07c%2Bap%7Ctkp%3ABk9SR4jJ7uTvZg","NEW AUTHENTIC FOSSIL SULLIVAN SOLAR SILVER GREEN LEATHER BQ2663 MEN'S WATCH","US $69.99/ea","Fossil","Men","Analog","","https://www.ebay.com/sch/i.html?_nkw=watches&_sacat=0&_from=R40&_ipg=240&_oaa=1&_dcat=31387&_pgn=10&rt=nc"
